domain,level,chinese,AoA,n_char,n_utt_Mandarin,quantifier_p,whNP_p,anchor_p,another_p,labelling_p,definite_p,crit_index,crit_index_p
vegetable,Basic,茄子,7.708333333333333,2,31,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,
vegetable,Basic,番茄,6.45,2,74,0.013513513513513514,0.02702702702702703,0.0,0.0,0.10810810810810811,0.02702702702702703,0.010135135135135136,
vegetable,Basic,土豆,7.136363636363637,2,39,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,
vegetable,Basic,辣椒,6.052631578947368,2,59,0.0,0.05084745762711865,0.0,0.0,0.05084745762711865,0.03389830508474576,0.012711864406779662,
vegetable,Basic,胡椒,9.052631578947368,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
vegetable,Basic,洋葱,8.714285714285714,2,6,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,
vegetable,Basic,菠菜,6.714285714285714,2,40,0.025,0.025,0.0,0.0,0.025,0.05,0.0125,
dessert,Superordinate,甜点,8.863636363636363,2,14,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,
dessert,Basic,蛋糕,6.789473684210527,2,283,0.02120141342756184,0.15547703180212014,0.0,0.007067137809187279,0.06007067137809187,0.04240282685512368,0.045936395759717315,
dessert,Basic,饼干,5.727272727272728,2,129,0.023255813953488372,0.03875968992248062,0.0,0.0,0.05426356589147287,0.06201550387596899,0.015503875968992248,
dessert,Basic,布丁,9.2,2,20,0.0,0.25,0.0,0.0,0.0,0.0,0.0625,
dessert,Basic,冰淇淋,6.857142857142857,3,67,0.04477611940298507,0.1044776119402985,0.0,0.0,0.0,0.04477611940298507,0.03731343283582089,
dessert,Basic,巧克力,7.772727272727272,3,80,0.0,0.075,0.0,0.0,0.025,0.025,0.01875,
dessert,Basic,糖果,6.2105263157894735,2,98,0.04081632653061224,0.10204081632653061,0.01020408163265306,0.0,0.04081632653061224,0.05102040816326531,0.03826530612244898,
dessert,Basic,薄饼,10.0,2,0,,,,,,,,
dessert,Basic,月饼,6.636363636363637,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
vehicle,Basic,汽车,5.882352941176471,2,592,0.02195945945945946,0.06587837837837837,0.005067567567567568,0.0033783783783783786,0.033783783783783786,0.07094594594594594,0.024070945945945943,
vehicle,Basic,火车,7.647058823529412,2,496,0.024193548387096774,0.07862903225806452,0.0,0.0020161290322580645,0.04233870967741935,0.07056451612903226,0.026209677419354836,
vehicle,Basic,飞机,8.95,2,391,0.015345268542199489,0.08184143222506395,0.005115089514066497,0.0,0.04092071611253197,0.07161125319693094,0.025575447570332484,
vehicle,Basic,轮船,8.3,2,19,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.02631578947368421,
vehicle,Basic,地铁,11.56,2,42,0.11904761904761904,0.023809523809523808,0.0,0.0,0.11904761904761904,0.07142857142857142,0.03571428571428571,
vehicle,Basic,摩托车,9.25,3,36,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,
vehicle,Basic,卡车,9.84210526,2,66,0.0,0.09090909090909091,0.0,0.0,0.07575757575757576,0.030303030303030304,0.022727272727272728,
furniture,Superordinate,家具,8.571428571428571,2,97,0.23711340206185566,0.4639175257731959,0.0,0.0,0.0,0.07216494845360824,0.17525773195876287,
furniture,Basic,桌子,6.941176470588236,2,543,0.055248618784530384,0.16206261510128914,0.003683241252302026,0.0,0.02578268876611418,0.08287292817679558,0.055248618784530384,
furniture,Basic,椅子,6.619047619047619,2,507,0.02564102564102564,0.13214990138067062,0.0039447731755424065,0.0039447731755424065,0.03155818540433925,0.10059171597633136,0.04142011834319526,
furniture,Basic,沙发,9.454545454545457,2,127,0.0,0.1732283464566929,0.0,0.0,0.031496062992125984,0.10236220472440945,0.04330708661417323,
furniture,Basic,衣柜,8.636363636363637,2,23,0.043478260869565216,0.043478260869565216,0.0,0.0,0.043478260869565216,0.043478260869565216,0.021739130434782608,
furniture,Basic,书桌,8.25,2,19,0.10526315789473684,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.02631578947368421,
furniture,Basic,橱柜,8.318181818181818,2,24,0.0,0.125,0.0,0.0,0.08333333333333333,0.125,0.03125,
furniture,Basic,凳子,7.714285714285714,2,112,0.0625,0.10714285714285714,0.008928571428571428,0.008928571428571428,0.03571428571428571,0.08928571428571429,0.046875,
furniture,Basic,茶几,10.095238095238097,2,19,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.02631578947368421,
appliance,Superordinate,电器,9.117647058823527,2,2,0.0,0.5,0.0,0.0,0.0,0.0,0.125,
appliance,Basic,冰箱,9.954545454545457,2,61,0.06557377049180328,0.13114754098360656,0.0,0.0,0.04918032786885246,0.01639344262295082,0.04918032786885246,
appliance,Basic,电视,7.318181818181818,2,291,0.024054982817869417,0.09965635738831616,0.0,0.0,0.024054982817869417,0.06529209621993128,0.030927835051546393,
appliance,Basic,洗衣机,11.0,3,19,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,0.02631578947368421,
appliance,Basic,空调,8.15,2,19,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.013157894736842105,
appliance,Basic,微波炉,12.173913043478262,3,5,0.2,0.4,0.0,0.0,0.2,0.0,0.15000000000000002,
appliance,Basic,电风扇,8.636363636363637,3,26,0.038461538461538464,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.04807692307692308,
appliance,Basic,吹风机,10.423076923076923,3,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0625,
stationery,Superordinate,文具,7.473684210526316,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
stationery,Basic,铅笔,6.5,2,65,0.03076923076923077,0.07692307692307693,0.0,0.0,0.046153846153846156,0.03076923076923077,0.026923076923076925,
stationery,Basic,钢笔,7.84,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
stationery,Basic,橡皮,6.826086956521739,2,16,0.0,0.125,0.0,0.0,0.0625,0.25,0.03125,
stationery,Basic,书包,7.380952380952381,2,56,0.10714285714285714,0.07142857142857142,0.0,0.0,0.05357142857142857,0.07142857142857142,0.04464285714285714,
stationery,Basic,墨水,9.77777777777778,2,10,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
clothing,Superordinate,衣服,5.5,2,900,0.035555555555555556,0.10444444444444445,0.0011111111111111111,0.0011111111111111111,0.05444444444444444,0.03111111111111111,0.03555555555555556,
clothing,Basic,衬衫,8.782608695652174,2,9,0.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,
clothing,Basic,裤子,5.631578947368421,2,150,0.02,0.04666666666666667,0.0,0.0,0.04,0.02,0.016666666666666666,
clothing,Basic,裙子,6.4375,2,95,0.0,0.05263157894736842,0.0,0.0,0.010526315789473684,0.06315789473684211,0.013157894736842105,
clothing,Basic,外套,7.318181818181818,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
clothing,Basic,毛衣,6.045454545454546,2,24,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.03125,
clothing,Basic,围巾,7.2105263157894735,2,6,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.041666666666666664,
clothing,Basic,帽子,6.411764705882353,2,224,0.03125,0.08928571428571429,0.013392857142857142,0.008928571428571428,0.07589285714285714,0.11160714285714286,0.03571428571428571,
instrument,Superordinate,乐器,9.727272727272728,2,3,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,
instrument,Basic,钢琴,12.0,2,386,0.007772020725388601,0.19170984455958548,0.0051813471502590676,0.0,0.03626943005181347,0.02072538860103627,0.051165803108808285,
